EX_BA-Powell-1 "Zginiesz!"
EX_BA-Powell-2 "Akcja i reakcja."
EX_BB-Powell-1 "Taktyczny zwrot."
EX_BB-Powell-2 "Rozważnie."
EX_BC-Powell-1 "To łatwe."
EX_BC-Powell-2 "Trup."
EX_BD-Powell-1 "Ostrożnie."
EX_BD-Powell-2 "Zapach prochu o poranku."
EX_BE-Powell-1 "Tak się to robi."
EX_CA-Powell-1 "OK."
EX_CA-Powell-2 "Idę."
EX_CA-Powell-3 "Idę tam."
EX_CA-Powell-4 "Nie rozkazuj mi."
EX_EA-Powell-1 "Skrzynie."
EX_EA-Powell-2 "Więcej skrzyń."
EX_EA-Powell-3 "Kolejna dostawa."
EX_EB-Powell-1 "Syberyt."
EX_EB-Powell-2 "Znowu syberyt."
EX_EC-Powell-1 "Ropa."
EX_EC-Powell-2 "To chyba ropa."
EX_ED-Powell-1 "Podaj swój stopień."
EX_ED-Powell-2 "Co tu robisz?."
EX_EE-Powell-1 "To nie nasz."
EX_EE-Powell-2 "To wróg."
EX_FA-Powell-1 "Odczep się."
EX_FA-Powell-2 "Czekam na awans."
EX_FB-Powell-1 "Jestem na miejscu."
EX_FB-Powell-2 "Jestem."
EX_FB-Powell-3 "Tak."
EX_FC-Powell-1 "Jestem gotowy."
EX_FC-Powell-2 "Czekam na dalsze instrukcje."
EX_FD-Powell-1 "Brak zadań."
EX_FE-Powell-1 "Wybudowane."
EX_FE-Powell-2 "Stoi."
EX_FF-Powell-1 "Gotowe."
EX_FF-Powell-2 "Skończone."
EX_FG-Powell-1 "Trzymaj się."
EX_FH-Powell-1 "Badanie gotowe."
EX_FH-Powell-2 "To już wiem."
EX_FL-Powell-1 "Zrobione."
EX_FL-Powell-2 "Kiedyś w wojsku było inaczej."
EX_FM-Powell-1 "Co to?"
EX_HA-Powell-1 "Ból."
EX_HA-Powell-2 "Tylko spokojnie."
EX_IA-Powell-1 "Zapuszczę tu korzenie."
EX_IA-Powell-2 "Czekam i czekam."
EX_IA-Powell-3 "Jak długo mam tu stać?"
EX_KA-Powell-1 "Środek walki."
EX_KA-Powell-2 "Strzelają."
EX_LA-Powell-1 "Polepszyły się moje umiejętności walki."
EX_LA-Powell-2 "Zwiększyły się moje umiejętności walki."
EX_LB-Powell-1 "Polepszyły się moje umiejętności mechaniki."
EX_LB-Powell-2 "Zwiększyły się moje umiejętności mechaniki."
EX_LC-Powell-1 "Polepszyły się moje umiejętności inżynierii."
EX_LC-Powell-2 "Zwiększyły się moje umiejętności inżynierii."
EX_LD-Powell-1 "Polepszyły się moje umiejętności naukowe."
EX_LD-Powell-2 "Zwiększyły się moje umiejętności naukowe."
EX_MA-Powell-1 "Idę."
EX_MA-Powell-2 "Zaraz."
EX_MA-Powell-3 "Za chwilę."
EX_NA-Powell-1 "Nie."
EX_NA-Powell-2 "Nie ma mowy."
EX_NA-Powell-3 "Daj mi mapę."
EX_OA-Powell-2 "Zbędny element."
EX_OA-Powell-3 "Ciekawe zagranie."
EX_OF-Powell-1 "Wybuduję to."
EX_OG-Powell-1 "Plaster gotowy."
EX_RA-Powell-1 "Powell zgłasza się."
EX_RA-Powell-2 "Czekam."
EX_RC-Powell-2 "Ruszajmy."
EX_RC-Powell-3 "Nie jestem dobrym kierowcą."
EX_UA-Powell-1 "Jesteś słabym dowódcą."
EX_UA-Powell-2 "Powinieneś tu być zamiast mnie."
EX_WA-Powell-1 "Koniec mojej przygody."
EX_WA-Powell-2 "Dobranoc."
EX_XA-Powell-1 "Blokada."
EX_XA-Powell-2 "Nie ma mowy."
EX_XB-Powell-1 "Nasze złoże syberytu zostało zniszczone."
EX_XB-Powell-2 "Nasze złoże alaskitu zostało zniszczone."
EX_XC-Powell-1 "To miejsce jest skażone."
EX_XD-Powell-1 "Mało paliwa."
EX_XD-Powell-2 "Daleko nie zajedziemy."
EX_XE-Powell-1 "Koniec."
EX_XE-Powell-2 "Dalej idziemy."
