EX_BA-Sik-1 "Mam go na celowniku!"
EX_BA-Sik-2 "Zdychaj!"
EX_BB-Sik-1 "Zastrzelcie go."
EX_BB-Sik-2 "Uwaga!"
EX_BC-Sik-1 "Kolejna kulka!"
EX_BC-Sik-2 "Kolejny trup."
EX_BD-Sik-1 "Ostrożnie z tym."
EX_BD-Sik-2 "Fajerwerki!"
EX_BE-Sik-1 "Tak się to robi."
EX_CA-Sik-1 "OK."
EX_CA-Sik-2 "Już lecę."
EX_CA-Sik-3 "Dam radę."
EX_CA-Sik-4 "Dobrze już dobrze."
EX_EA-Sik-1 "Skrzyneczki."
EX_EA-Sik-2 "Kolejne skrzyneczki."
EX_EA-Sik-3 "Więcej skrzyneczek."
EX_EB-Sik-1 "Zielone ustrojstwo."
EX_EB-Sik-2 "Znowu syberyt."
EX_EC-Sik-1 "Ropa!"
EX_EC-Sik-2 "Ropy nigdy za wiele!"
EX_ED-Sik-1 "Kim jesteś frajerze?"
EX_ED-Sik-2 "Nie znam Cię."
EX_EE-Sik-1 "Obcy typ."
EX_EE-Sik-2 "Frajer na radarze."
EX_FA-Sik-1 "Daj mi spokój."
EX_FA-Sik-2 "Zrobiłem to."
EX_FB-Sik-1 "Jestem na miejscu."
EX_FB-Sik-2 "Jestem tu w tym momencie."
EX_FB-Sik-3 "Masz jeszcze coś do dodania?"
EX_FC-Sik-1 "Jestem gotowy."
EX_FC-Sik-2 "Czekam na dalsze instrukcje."
EX_FD-Sik-1 "Brak zadań."
EX_FE-Sik-1 "Nowy barak już czeka."
EX_FE-Sik-2 "Skończyłem budowę."
EX_FF-Sik-1 "Gotowe."
EX_FF-Sik-2 "Skończone."
EX_FG-Sik-1 "Trzymaj się."
EX_FH-Sik-1 "Badanie gotowe."
EX_FH-Sik-2 "Jeszcze coś zbadać?"
EX_FL-Sik-1 "Zrobione."
EX_FL-Sik-2 "Daj mi coś trudniejszego do zrobienia."
EX_FM-Sik-1 "Po co nam ten syf?"
EX_HA-Sik-1 "Och!"
EX_HA-Sik-2 "Aargh!"
EX_IA-Sik-1 "Halo? Jesteś tam?"
EX_IA-Sik-2 "Umieram z nudów."
EX_IA-Sik-3 "Ma ktoś ochotę na Ruska?"
EX_KA-Sik-1 "Strzelają we mnie."
EX_KA-Sik-2 "Strzelają."
EX_LA-Sik-1 "Polepszyły się moje umiejętności walki."
EX_LA-Sik-2 "Zwiększyły się moje umiejętności walki."
EX_LB-Sik-1 "Polepszyły się moje umiejętności mechaniki."
EX_LB-Sik-2 "Zwiększyły się moje umiejętności mechaniki."
EX_LC-Sik-1 "Polepszyły się moje umiejętności inżynierii."
EX_LC-Sik-2 "Zwiększyły się moje umiejętności inżynierii."
EX_LD-Sik-1 "Polepszyły się moje umiejętności naukowe."
EX_LD-Sik-2 "Zwiększyły się moje umiejętności naukowe."
EX_MA-Sik-1 "Idę."
EX_MA-Sik-2 "Jestem na dobrej drodze."
EX_MA-Sik-3 "Podążam do celu."
EX_NA-Sik-1 "Odwal się."
EX_NA-Sik-2 "Tam nie da się dojść."
EX_NA-Sik-3 "Tam nie da się dojść. Rozumiesz?!"
EX_OA-Sik-2 "Zabijmy ich!"
EX_OA-Sik-3 "W końcu coś dla mnie!"
EX_OF-Sik-1 "Wybuduję to."
EX_OG-Sik-1 "Apteczka już leci."
EX_RA-Sik-1 "No co?"
EX_RA-Sik-2 "Czekam."
EX_RC-Sik-2 "Jedziemy?"
EX_RC-Sik-3 "Coś tam warczy."
EX_UA-Sik-1 "Dajcie tu medyka!"
EX_UA-Sik-2 "Zajebiście, umieram."
EX_WA-Sik-1 "To chyba koniec."
EX_WA-Sik-2 "Przez ciebie tu zdechnę!"
EX_XA-Sik-1 "Ktoś zastawił drzwi."
EX_XA-Sik-2 "Drzwi zablokowane geniuszu."
EX_XB-Sik-1 "Nasze złoże syberytu zostało zniszczone."
EX_XB-Sik-2 "Nasze złoże alaskitu zostało zniszczone."
EX_XC-Sik-1 "Zielona śmierć."
EX_XD-Sik-1 "Kontrolka paliwa się świeci."
EX_XD-Sik-2 "No i stoimy. Brawo."
EX_XE-Sik-1 "Brak paliwka."
EX_XE-Sik-2 "Dajcie nam litra."
